j,vp13,vp15,vp10,time
0,0.068986,0.0679789,0.0449668,0.100616
4,0.103983,0.102975,0.0619867,0.201721
8,0.149956,0.153985,0.0929548,0.302795
12,0.197995,0.195981,0.12498,0.4039
16,0.244976,0.244976,0.153985,0.504974
20,0.29095,0.291957,0.186967,0.60617
24,0.343973,0.343973,0.22,0.707275
28,0.384962,0.385969,0.249961,0.808411
32,0.433957,0.435971,0.282994,0.909515
36,0.490959,0.486981,0.315976,1.01065
40,0.53799,0.538997,0.352987,1.11176
44,0.583964,0.584971,0.381991,1.21286
48,0.630995,0.628981,0.413966,1.31393
52,0.678983,0.678983,0.446999,1.41504
56,0.72395,0.728986,0.483959,1.51617
60,0.773952,0.773952,0.508986,1.61731
64,0.822998,0.822998,0.539954,1.71841
68,0.869979,0.868972,0.57198,1.81952
72,0.917967,0.918974,0.603955,1.92062
76,0.963991,0.965955,0.633966,2.02173
80,1.01696,1.01696,0.666999,2.12283
84,1.06198,1.06299,0.698974,2.22391
88,1.11198,1.11098,0.730949,2.32498
92,1.15896,1.15896,0.761968,2.42615
96,1.206,1.20695,0.79495,2.52728
100,1.26496,1.26597,0.830954,2.62842
104,1.31099,1.31295,0.863987,2.72949
108,1.362,1.362,0.894955,2.8306
112,1.40898,1.40898,0.927988,2.93073
116,1.45596,1.45797,0.959963,3.03183
120,1.50495,1.50697,0.994959,3.1329
124,1.55299,1.554,1.02296,3.23401
128,1.60098,1.59796,1.05398,3.33514
132,1.646,1.64796,1.08796,3.43631
136,1.68996,1.69499,1.11999,3.53741
140,1.73895,1.74197,1.14995,3.63852
144,1.77999,1.78996,1.18198,3.73959
148,1.81096,1.838,1.21395,3.8407
152,1.83699,1.88599,1.24598,3.9418
156,1.85396,1.93095,1.27397,4.04291
160,1.86796,1.97597,1.30696,4.14398
164,1.87999,2.03499,1.34397,4.24515
168,1.88896,2.07995,1.37599,4.34625
172,1.89596,2.12598,1.40696,4.44739
176,1.90195,2.17397,1.43697,4.54846
180,1.90799,2.21898,1.469,4.64957
184,1.916,2.26798,1.50198,4.75067
188,1.91897,2.31496,1.53295,4.85175
192,1.92199,2.36395,1.56296,4.95285
196,1.92496,2.41098,1.59398,5.05396
200,1.93,2.45998,1.62399,5.15506
204,1.93196,2.50797,1.65697,5.2562
208,1.937,2.55797,1.68698,5.3573
212,1.93896,2.60898,1.71795,5.4584
216,1.94198,2.65898,1.74998,5.55951
220,1.94596,2.67097,1.781,5.66061
224,1.94697,2.67097,1.81196,5.76215
228,1.95099,2.67097,1.84696,5.86325
232,1.95296,2.67097,1.87798,5.96442
236,1.95699,2.67097,1.909,6.06552
240,1.95799,2.67097,1.93599,6.16663
244,1.95996,2.67097,1.96197,6.26773
248,1.96096,2.67097,1.97798,6.3688
252,1.96096,2.67097,1.98196,6.46994
